enterprisenumber,denomination,typeofenterprise,status,startdate,juridicalform,address_street,address_housenumber,address_box,address_zipcode,address_city,address_country,activities
0405062991,IMMO SUY,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Stationsstraat(BEV),1,1,9120,Beveren,België,43221:Loodgieterswerk; 47592:Detailhandel in verlichtingsartikelen in gespecialiseerde winkels
0405070119,BOUWBEDRIJF VAN DER KINDEREN,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Schaarbeekstraat(MEL),22,,9120,Beveren,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0405073285,Van Laere,Rechtspersoon,Actief,1938-01-27,Naamloze vennootschap,Baarbeek,14,,2070,Zwijndrecht,België,41201:Algemene bouw van residentiële gebouwen; 41203:Algemene bouw van andere niet-residentiële gebouwen
0405079225,VERPLANCKE,Rechtspersoon,Actief,1961-12-28,Naamloze vennootschap,Molenstraat(KIE),91,,9130,Beveren,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0405092190,WILLEMEN INFRA,Rechtspersoon,Actief,1949-06-08,Naamloze vennootschap,Booiebos,4,,9031,Gent,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen
0405096150,DE BRUGSE ALGEMENE BOUWONDERNEMING,Rechtspersoon,Actief,1958-03-11,Naamloze vennootschap,Peter Benoitlaan,53,,8200,Brugge,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 43999:Overige gespecialiseerde bouwwerkzaamheden
0405103672,J. DE JAEGHER,Rechtspersoon,Actief,1929-06-08,Naamloze vennootschap,Franklin Rooseveltlaan,11,,1050,Brussel,België,41101:Ontwikkeling van residentiële bouwprojecten; 68100:Handel in eigen onroerend goed; 41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten
0405122775,LAMOTE INFRA,Rechtspersoon,Actief,1950-03-03,Naamloze vennootschap,Lindelaan,7,,8310,Brugge,België,42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie; 42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie
0405150291,HOFBOUWONDERNEMINGEN VAN HOLLEBEKE - ENTREPRISES D'HORTICULTURE VAN HOLLEBEKE,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Jan Bouckaertstraat,2,32,8790,Waregem,België,41101:Ontwikkeling van residentiële bouwprojecten
0405152073,Global Bazadaise,Rechtspersoon,Actief,1951-06-09,Naamloze vennootschap,Kapellestraat,117,,8020,Oostkamp,België,"41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten; 56290:Overige eetgelegenheden; 68100:Handel in eigen onroerend goed; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen; 68203:Verhuur en exploitatie van eigen of geleasd niet-residentieel onroerend goed, exclusief terreinen"
0405176027,Bouwonderneming De Brabant Gebroeders,Rechtspersoon,Actief,1964-04-17,Naamloze vennootschap,Brugstraat(Oes),33,,8720,Dentergem,België,41201:Algemene bouw van residentiële gebouwen; 43320:Schrijnwerk; 41201:Algemene bouw van residentiële gebouwen
0405181965,Gebroeders De Waele,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Oostendesteenweg(FEER),199,,8480,Ichtegem,België,42110:Bouw van autowegen en andere wegen
0405184836,Everaert Invest,Rechtspersoon,Actief,1964-04-01,Naamloze vennootschap,Deinsesteenweg,131,2,8700,Tielt,België,43320:Schrijnwerk
0405190378,Compagnie Het Zoute,Rechtspersoon,Actief,1931-04-24,Naamloze vennootschap,Prins Filiplaan,53,,8300,Knokke-Heist,België,93110:Exploitatie van sportaccommodaties; 41101:Ontwikkeling van residentiële bouwprojecten; 41201:Algemene bouw van residentiële gebouwen; 93292:Exploitatie van recreatiedomeinen
0405197902,Wegeniswerken Adiel Maes,Rechtspersoon,Actief,1960-10-31,Naamloze vennootschap,Brugsebaan,2,,8810,Lichtervelde,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen
0405226111,Vanhaerents,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Oude Gentweg,81,,8820,Torhout,België,41101:Ontwikkeling van residentiële bouwprojecten
0405248182,ALGEMENE SCHRIJNWERKERIJ CORNELIS,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Handelsstraat,21,,8630,Veurne,België,"43320:Schrijnwerk; 41201:Algemene bouw van residentiële gebouwen; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen; 68203:Verhuur en exploitatie van eigen of geleasd niet-residentieel onroerend goed, exclusief terreinen"
0405250459,Bouwbedrijf A. J. De Groote Fr. en Cie,Rechtspersoon,Actief,1960-02-27,Naamloze vennootschap,Driesstraat(Ide),131,,9506,Geraardsbergen,België,43320:Schrijnwerk
0405255310,MAMMOET (BELGIUM),Rechtspersoon,Actief,1946-04-01,Naamloze vennootschap,Knippegroen,1,,9042,Gent,België,"43999:Overige gespecialiseerde bouwwerkzaamheden; 49410:Goederenvervoer over de weg, m.u.v. verhuisbedrijven"
0405262931,VERHELST AANNEMINGEN,Rechtspersoon,Actief,1955-12-29,Naamloze vennootschap,Oudenburgsesteenweg,106,,8400,Oostende,België,"42110:Bouw van autowegen en andere wegen; 43120:Bouwrijp maken van terreinen; 49410:Goederenvervoer over de weg, m.u.v. verhuisbedrijven; 77320:Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg- en waterbouw"
0405265208,IVECA TECHNICS,Rechtspersoon,Actief,1937-08-16,Naamloze vennootschap,Watermolenstraat,5,,9700,Oudenaarde,België,43211:Elektrotechnische installatiewerken aan gebouwen; 43211:Elektrotechnische installatiewerken aan gebouwen; 33150:Reparatie en onderhoud van schepen; 42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie; 43341:Schilderen van gebouwen
0405273819,Natan,Rechtspersoon,Actief,1929-11-07,Naamloze vennootschap,Ooststraat,22,2,8400,Oostende,België,41101:Ontwikkeling van residentiële bouwprojecten
0405291734,Algemene Ondernemingen Soetaert,Rechtspersoon,Actief,1948-09-11,Naamloze vennootschap,Esperantolaan,10A,,8400,Oostende,België,"42130:Bouw van bruggen en tunnels; 43999:Overige gespecialiseerde bouwwerkzaamheden; 42130:Bouw van bruggen en tunnels; 42919:Waterbouw, m.u.v. baggerwerken; 43120:Bouwrijp maken van terreinen"
0405299355,VAN HUELE,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Zandvoordestraat,453,,8400,Oostende,België,"41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten; 41203:Algemene bouw van andere niet-residentiële gebouwen; 42990:Bouw van andere civieltechnische werken, n.e.g.; 43390:Overige werkzaamheden in verband met de afwerking van gebouwen; 43995:Restaureren van bouwwerken; 68311:Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis"
0405387150,ARBOWAR,Rechtspersoon,Actief,1968-04-24,Naamloze vennootschap,Driesstraat,80,,8790,Waregem,België,"42110:Bouw van autowegen en andere wegen; 81300:Landschapsverzorging; 42990:Bouw van andere civieltechnische werken, n.e.g.; 43994:Uitvoeren van metsel- en voegwerken; 43999:Overige gespecialiseerde bouwwerkzaamheden"
0405390912,De Vrijdomskaai,Rechtspersoon,Actief,1938-01-01,Naamloze vennootschap,Bischoffsheimlaan,33,,1000,Brussel,België,41101:Ontwikkeling van residentiële bouwprojecten; 23310:Vervaardiging van keramische tegels en plavuizen
0405403184,De Laere,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Nijverheidslaan,32,,8560,Wevelgem,België,"43320:Schrijnwerk; 41201:Algemene bouw van residentiële gebouwen; 31091:Vervaardiging van eetkamer-, zitkamer-, slaapkamer- en badkamermeubelen; 43320:Schrijnwerk"
0405418725,Grond en Bouwcentrum,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Elsegemplein (E.),23,,9790,Wortegem-Petegem,België,"41201:Algemene bouw van residentiële gebouwen; 82110:Diverse administratieve activiteiten ten behoeve van kantoren; 70220:Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering; 70210:Adviesbureaus op het gebied van public relations en communicatie; 70100:Activiteiten van hoofdkantoren; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen; 68100:Handel in eigen onroerend goed; 64200:Holdings; 41101:Ontwikkeling van residentiële bouwprojecten; 82990:Overige zakelijke dienstverlening, n.e.g."
0405428326,Madelec,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Kalkhoevestraat,52,,8790,Waregem,België,"43221:Loodgieterswerk; 43211:Elektrotechnische installatiewerken aan gebouwen; 43222:Installatie van verwarming, klimaatregeling en ventilatie"
0405434165,Parmatam,Rechtspersoon,Actief,1963-05-09,Naamloze vennootschap,Avelgemstraat(Z),161,,8550,Zwevegem,België,"28990:Vervaardiging van andere machines, apparaten en werktuigen voor  specifieke doeleinden, n.e.g.; 43320:Schrijnwerk"
0405435056,Persyn,Rechtspersoon,Actief,1952-12-30,Naamloze vennootschap,Blokellestraat(Z),113A,,8550,Zwevegem,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen
0405455644,AANNEMINGSBEDRIJF VERHAEGHE,Rechtspersoon,Actief,1961-01-06,Naamloze vennootschap,Kuipebosstraat,9,,8880,Ledegem,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen
0405456337,BOUWWERKEN VERSTRAETE,Rechtspersoon,Actief,1963-02-16,Naamloze vennootschap,Kruishoutemseweg,177,,8790,Waregem,België,"41201:Algemene bouw van residentiële gebouwen; 46731:Groothandel in bouwmaterialen, algemeen assortiment"
0405461384,KLIMA + HVAC,Rechtspersoon,Actief,1936-03-15,Naamloze vennootschap,Begoniastraat,140,,9810,Nazareth,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie; 47592:Detailhandel in verlichtingsartikelen in gespecialiseerde winkels"
0405469304,CNOCKAERT,Rechtspersoon,Actief,1954-05-29,Naamloze vennootschap,Langemarkweg(KOM),S/N,,7780,Comines-Warneton,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen
0405470490,De Bouwondernemingen Coudron - Les Entreprises Coudron,Rechtspersoon,Actief,1957-11-15,Naamloze vennootschap,Diksmuidseweg,61,,8900,Ieper,België,41201:Algemene bouw van residentiële gebouwen; 31020:Vervaardiging van keukenmeubelen; 41101:Ontwikkeling van residentiële bouwprojecten; 42130:Bouw van bruggen en tunnels; 43331:Plaatsen van vloer- en wandtegels; 43390:Overige werkzaamheden in verband met de afwerking van gebouwen
0405474846,Bouwondernemingen Delporte en Zonen ou Société de Construction Delporte & fils,Rechtspersoon,Actief,1967-01-01,Naamloze vennootschap,Marmousetsstraat(KOM),5,,7780,Comines-Warneton,België,43996:Chapewerken; 41201:Algemene bouw van residentiële gebouwen
0405512062,FIRMA SIMOEN EN VERMEULEN,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Sappenleenstraat,26,,8970,Poperinge,België,"41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 46731:Groothandel in bouwmaterialen, algemeen assortiment"
0405523346,Ekstravert,Rechtspersoon,Actief,1957-03-30,Naamloze vennootschap,Koningin Astridlaan,97,6,8200,Brugge,België,47529:Detailhandel in overige bouwmaterialen in gespecialiseerde winkels; 43999:Overige gespecialiseerde bouwwerkzaamheden; 47529:Detailhandel in overige bouwmaterialen in gespecialiseerde winkels
0405524732,Techlog Genk,Rechtspersoon,Actief,1945-12-12,Naamloze vennootschap,Winterbeeklaan,23,,3600,Genk,België,42110:Bouw van autowegen en andere wegen; 23610:Vervaardiging van artikelen van beton voor de bouw
0405545815,GEBROEDERS CROP BOUWONDERNEMING,Rechtspersoon,Actief,1939-01-31,Naamloze vennootschap,Tieltstraat,138,,8760,Meulebeke,België,41201:Algemene bouw van residentiële gebouwen
0405551258,CRATEGUS,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Zandbergstraat,17,,8850,Ardooie,België,43999:Overige gespecialiseerde bouwwerkzaamheden
0405559572,Dumobil,Rechtspersoon,Actief,1962-01-27,Naamloze vennootschap,Felix D'Hoopstraat,180,,8700,Tielt,België,41101:Ontwikkeling van residentiële bouwprojecten; 41101:Ontwikkeling van residentiële bouwprojecten
0405566896,GODDEERIS,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Ovenhoek,26,,8800,Roeselare,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie; 43222:Installatie van verwarming, klimaatregeling en ventilatie; 43211:Elektrotechnische installatiewerken aan gebouwen; 43221:Loodgieterswerk"
0405580655,MAATSCHAPPIJ TOT EXPLOITATIE VAN IMMOBILIEN,Rechtspersoon,Actief,1945-07-10,Naamloze vennootschap,Franklin Rooseveltlaan,180,,8790,Waregem,België,41101:Ontwikkeling van residentiële bouwprojecten; 70100:Activiteiten van hoofdkantoren; 68100:Handel in eigen onroerend goed
0405590256,PEREMANS,Rechtspersoon,Actief,1956-03-01,Naamloze vennootschap,Zinkstraat,13,,1500,Halle,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0405598174,WOLVELD²,Rechtspersoon,Actief,1954-07-24,Naamloze vennootschap,Den Triangel,2,,8610,Kortemark,België,41101:Ontwikkeling van residentiële bouwprojecten; 41201:Algemene bouw van residentiële gebouwen
0405619851,Entreprises générales Louis Duchene,Rechtspersoon,Actief,1956-01-19,Naamloze vennootschap,Route de Strée,44,,4577,Modave,België,"42990:Bouw van andere civieltechnische werken, n.e.g.; 42110:Bouw van autowegen en andere wegen"
0405628759,Etablissements Debay,Rechtspersoon,Actief,1955-12-06,Naamloze vennootschap,Rue du Panorama,27,,6041,Charleroi,België,"43320:Schrijnwerk; 25110:Vervaardiging van metalen constructiewerken en delen daarvan; 16230:Vervaardiging van ander schrijn- en timmerwerk; 43320:Schrijnwerk; 45111:Groothandel in auto's en lichte bestelwagens (= 3,5 ton)"
0405645585,Mazoutechnic,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Olmkruidlaan,2-4,,1020,Brussel,België,"95290:Reparatie van andere consumentenartikelen; 43222:Installatie van verwarming, klimaatregeling en ventilatie; 95290:Reparatie van andere consumentenartikelen"
0405652020,SOBELTER ENGINEERING,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Kruisveld,34,,1840,Londerzeel,België,43999:Overige gespecialiseerde bouwwerkzaamheden; 43120:Bouwrijp maken van terreinen
0405654592,Gecima,Rechtspersoon,Actief,1967-11-15,Naamloze vennootschap,Avenue Vésale,24,,1300,Wavre,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 43999:Overige gespecialiseerde bouwwerkzaamheden
0405694085,PROPETAN,Rechtspersoon,Actief,1945-12-20,Naamloze vennootschap,Chaussée de Louvain,479,,1380,Lasne,België,41101:Ontwikkeling van residentiële bouwprojecten; 68100:Handel in eigen onroerend goed
0405705864,SERCK,Rechtspersoon,Actief,1936-12-04,Naamloze vennootschap,Gontrode Heirweg,176,,9090,Melle,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0405708636,ELEMENTS DEVELOPMENT,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Aragonstraat,1,,2500,Lier,België,41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten; 64200:Holdings; 68100:Handel in eigen onroerend goed; 68204:Verhuur en exploitatie van terreinen
0405767232,RFD,Rechtspersoon,Actief,1962-06-04,Naamloze vennootschap,Picardstraat,11,505,1000,Brussel,België,41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten
0405780593,"VERWARMINGSBEDRIJF SLEGERS, Marivoet en Co.",Rechtspersoon,Actief,1942-03-25,Naamloze vennootschap,de Robianostraat,162,,2150,Borsbeek,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie; 43222:Installatie van verwarming, klimaatregeling en ventilatie"
0405791778,Mols Contractors,Rechtspersoon,Actief,1953-01-17,Naamloze vennootschap,Hoge Mauw,580,,2370,Arendonk,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen
0405800983,Artes Roegiers,Rechtspersoon,Actief,1948-08-23,Naamloze vennootschap,Burchtstraat,89,,9150,Kruibeke,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41203:Algemene bouw van andere niet-residentiële gebouwen
0405817217,Cardoen,Rechtspersoon,Actief,1967-06-12,Naamloze vennootschap,Houtemstraat,38,,8980,Zonnebeke,België,"42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen; 41201:Algemene bouw van residentiële gebouwen; 42212:Bouw van rioleringen; 42219:Bouw van civieltechnische werken voor vloeistoffen, n.e.g."
0405829588,LOUIS DE WAELE CONSTRUCTION,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Terhulpsesteenweg,185,,1170,Watermaal-Bosvoorde,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0405832657,Etablissements J.B. Electeur,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Leopold I straat,487,,1090,Jette,België,43221:Loodgieterswerk; 43221:Loodgieterswerk; 47527:Detailhandel in sanitaire artikelen en sanitair installatiemateriaal in gespecialiseerde winkels
0405834142,LITRAN,Rechtspersoon,Actief,1967-07-05,Naamloze vennootschap,Langerbruggekaai,3,,9000,Gent,België,"42211:Bouw van water- en gasdistributienetten; 42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie; 42919:Waterbouw, m.u.v. baggerwerken; 43299:Overige bouwinstallatie, n.e.g."
0405845822,MUNTERS BELGIUM,Rechtspersoon,Actief,1952-07-02,Naamloze vennootschap,Oude Baan,3,,2800,Mechelen,België,"46697:Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek voor industrieel gebruik; 43222:Installatie van verwarming, klimaatregeling en ventilatie"
0405848691,Ateliers Pouplier,Rechtspersoon,Actief,1962-12-21,Naamloze vennootschap,Chinheid,18,,4860,Pepinster,België,43320:Schrijnwerk; 25120:Vervaardiging van metalen deuren en vensters
0405854631,SOCIETE DES TRAVAUX GENERAUX DE CONSTRUCTIONS,Rechtspersoon,Actief,1968-02-03,Naamloze vennootschap,Rue du Milan,1,,4950,Waimes,België,42110:Bouw van autowegen en andere wegen; 41201:Algemene bouw van residentiële gebouwen; 08111:Winning van bouw- en siersteen; 41203:Algemene bouw van andere niet-residentiële gebouwen; 42110:Bouw van autowegen en andere wegen
0405856512,Compagnie de Vaulx et Antoing,Rechtspersoon,Actief,1904-01-09,Naamloze vennootschap,Rue du Parc(TOU),4,,7500,Tournai,België,43120:Bouwrijp maken van terreinen
0405869378,RAGOEN,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Stationsstraat,80,,1640,Sint-Genesius-Rode,België,42110:Bouw van autowegen en andere wegen; 23630:Vervaardiging van stortklare beton
0405904418,IMMOTIVOLI,Rechtspersoon,Actief,1930-01-01,Naamloze vennootschap,Kruidtuinlaan,20,,1000,Brussel,België,41201:Algemene bouw van residentiële gebouwen; 41101:Ontwikkeling van residentiële bouwprojecten; 68100:Handel in eigen onroerend goed
0405925697,Centrale Verwarming en Sanitair Sterckx en Co,Rechtspersoon,Actief,1967-01-01,Naamloze vennootschap,Sparrenweg,167,,3980,Tessenderlo,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie; 43222:Installatie van verwarming, klimaatregeling en ventilatie; 43221:Loodgieterswerk; 47521:Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment"
0405966675,"""IMMOBEL"" OU ""COMPAGNIE IMMOBILIERE DE BELGIQUE"" OU ""IMMOBILIEN VENNOOTSCHAP VAN BELGIE""",Rechtspersoon,Actief,1863-07-09,Naamloze vennootschap,Anspachlaan,1,,1000,Brussel,België,"68311:Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis; 41101:Ontwikkeling van residentiële bouwprojecten"
0405997458,Technogas,Rechtspersoon,Actief,1968-01-08,Naamloze vennootschap,Vredebaan,69,,2640,Mortsel,België,"71121:Ingenieurs en aanverwante technische adviseurs, exclusief landmeters; 42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie"
0406041406,Jan De Nul,Rechtspersoon,Actief,1938-12-10,Naamloze vennootschap,Tragel,60,,9308,Aalst,België,"42919:Waterbouw, m.u.v. baggerwerken; 42911:Baggerwerken; 42110:Bouw van autowegen en andere wegen; 42919:Waterbouw, m.u.v. baggerwerken; 43390:Overige werkzaamheden in verband met de afwerking van gebouwen"
0406075058,BOUWONDERNEMING VANMAERCKE,Rechtspersoon,Actief,1969-01-01,Naamloze vennootschap,Tieboutslaan,5,,8573,Anzegem,België,"41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 46731:Groothandel in bouwmaterialen, algemeen assortiment; 68100:Handel in eigen onroerend goed; 68311:Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis"
0406085451,MARTENS WEGENBOUW,Rechtspersoon,Actief,1968-12-31,Naamloze vennootschap,Grote Baan,572,,3530,Houthalen-Helchteren,België,"42110:Bouw van autowegen en andere wegen; 49410:Goederenvervoer over de weg, m.u.v. verhuisbedrijven; 42110:Bouw van autowegen en andere wegen; 43120:Bouwrijp maken van terreinen; 46731:Groothandel in bouwmaterialen, algemeen assortiment; 77320:Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg- en waterbouw"
0406101782,VAN LOY EN CIE. ALGEMENE RESTAURATIEWERKEN,Rechtspersoon,Actief,1969-01-08,Naamloze vennootschap,Stap,46,,2230,Herselt,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 43910:Dakwerkzaamheden; 43999:Overige gespecialiseerde bouwwerkzaamheden
0406122865,CRABBE DAKWERKEN,Rechtspersoon,Actief,1969-01-20,Naamloze vennootschap,Ossenwegstraat,34A,,3440,Zoutleeuw,België,"43910:Dakwerkzaamheden; 43910:Dakwerkzaamheden; 46731:Groothandel in bouwmaterialen, algemeen assortiment"
0406175721,FILCLAIR SERREN INDUSTRY,Rechtspersoon,Actief,1968-11-15,Naamloze vennootschap,Textielstraat,16,,8790,Waregem,België,"25110:Vervaardiging van metalen constructiewerken en delen daarvan; 43999:Overige gespecialiseerde bouwwerkzaamheden; 13921:Vervaardiging van beddengoed, tafellinnen en textielwaren voor huishoudelijk gebruik; 25501:Smeden van metaal; 35110:Productie van elektriciteit; 43320:Schrijnwerk"
0406177404,PTA Recycling,Rechtspersoon,Actief,1968-10-31,Naamloze vennootschap,Lieven Bauwenslaan,6 b,,3900,Pelt,België,42110:Bouw van autowegen en andere wegen; 41201:Algemene bouw van residentiële gebouwen
0406196309,REIC,Rechtspersoon,Actief,1968-10-04,Naamloze vennootschap,Lindestraat,4,,8710,Wielsbeke,België,"68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen; 41201:Algemene bouw van residentiële gebouwen; 41101:Ontwikkeling van residentiële bouwprojecten; 41203:Algemene bouw van andere niet-residentiële gebouwen; 68311:Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis"
0406204821,BOUWONDERNEMING SEIGNEUR,Rechtspersoon,Actief,1968-10-01,Naamloze vennootschap,Engelse Wandeling(Mar),74,,8510,Kortrijk,België,41201:Algemene bouw van residentiële gebouwen
0406211155,T&T DOUANEHOTEL,Rechtspersoon,Actief,1968-12-07,Naamloze vennootschap,Picardstraat,11,505,1000,Brussel,België,41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten
0406219766,ESTAATA,Rechtspersoon,Actief,1969-01-02,Naamloze vennootschap,Naamsestraat,37,,3000,Leuven,België,41101:Ontwikkeling van residentiële bouwprojecten
0406229268,Power Industrial Manufacturing Association,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Kluizenhof(SGW),25,,9170,Sint-Gillis-Waas,België,42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie; 41201:Algemene bouw van residentiële gebouwen; 42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie; 43390:Overige werkzaamheden in verband met de afwerking van gebouwen; 43999:Overige gespecialiseerde bouwwerkzaamheden
0406258071,Bouwbedrijf G. Sels,Rechtspersoon,Actief,1968-07-01,Naamloze vennootschap,Wijnegemsteenweg,24,,2970,Schilde,België,"41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 68311:Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis"
0406258269,Bouwbedrijf Keppens,Rechtspersoon,Actief,1968-03-25,Naamloze vennootschap,Oeverstraat,6,,9160,Lokeren,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 25110:Vervaardiging van metalen constructiewerken en delen daarvan; 43120:Bouwrijp maken van terreinen; 43999:Overige gespecialiseerde bouwwerkzaamheden; 91030:Exploitatie van monumenten en dergelijke toeristenattracties
0406282223,Entreprises  Favier,Rechtspersoon,Actief,1969-05-21,Naamloze vennootschap,Rue Albert Mille(PEC),19,,7740,Pecq,België,41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0406301029,Antwerp Tower,Rechtspersoon,Actief,1968-06-21,Naamloze vennootschap,Franklin Rooseveltlaan,180,,8790,Waregem,België,41101:Ontwikkeling van residentiële bouwprojecten
0406317459,IKO NV,Rechtspersoon,Actief,1968-03-22,Naamloze vennootschap,D'Herbouvillekaai,80,,2020,Antwerpen,België,43910:Dakwerkzaamheden; 43910:Dakwerkzaamheden; 52100:Opslag in koelpakhuizen en overige opslag
0406325674,ATF,Rechtspersoon,Actief,1968-02-05,Naamloze vennootschap,Het Voorhof,5,,2040,Antwerpen,België,42110:Bouw van autowegen en andere wegen; 43120:Bouwrijp maken van terreinen
0406412083,P.P.R.-VIBED,Rechtspersoon,Actief,1969-02-01,Naamloze vennootschap,Vondelen(DE),52,,9450,Haaltert,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen; 42130:Bouw van bruggen en tunnels
0406419112,V.M.A.,Rechtspersoon,Actief,1968-09-19,Naamloze vennootschap,Kortrijksesteenweg,14,B,9830,Sint-Martens-Latem,België,43211:Elektrotechnische installatiewerken aan gebouwen; 43211:Elektrotechnische installatiewerken aan gebouwen
0406425248,Dolfeyn,Rechtspersoon,Actief,1969-02-11,Naamloze vennootschap,Antwerpsestraat,286,,2640,Mortsel,België,"43910:Dakwerkzaamheden; 43910:Dakwerkzaamheden; 43310:Stukadoorswerk; 46731:Groothandel in bouwmaterialen, algemeen assortiment"
0406428317,DE ROO NV,Rechtspersoon,Actief,1969-01-01,Naamloze vennootschap,Markt,137,,9800,Deinze,België,47530:Detailhandel in tapijten en andere vloerbedekking en wandbekleding in  gespecialiseerde winkels; 43341:Schilderen van gebouwen
0406443757,Bouwondernemingen Cools,Rechtspersoon,Actief,1969-03-12,Naamloze vennootschap,'t Walletje,40,,8300,Knokke-Heist,België,41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 70100:Activiteiten van hoofdkantoren
