enterprise_number,activity_number,nace_code,classification_code
0403749434,1,41203,MAIN
0403749434,2,41201,MAIN
0403750226,1,43999,MAIN
0403750226,2,41101,MAIN
0403750226,3,47521,SECO
0403792093,1,41203,MAIN
0403792093,2,41201,MAIN
0403800508,1,41201,MAIN
0403800508,2,46732,SECO
0403800508,3,47521,SECO
0403813275,1,43120,MAIN
0403813275,2,43120,MAIN
0403813275,3,39000,SECO
0403813275,4,42212,SECO
0403813275,5,42919,SECO
0403813275,6,43110,SECO
0403827529,1,41203,MAIN
0403827529,2,41201,MAIN
0403827529,3,68311,SECO
0403829608,1,41201,MAIN
0403829707,1,41203,MAIN
0403829707,2,41201,MAIN
0403829707,3,43120,SECO
0403829707,4,43320,SECO
0403847919,1,42110,MAIN
0403847919,2,42110,MAIN
0403847919,3,43331,SECO
0403855243,1,42110,MAIN
0403855243,2,23690,SECO
0403866032,1,41201,MAIN
0403866032,2,41201,MAIN
0403868408,1,41203,MAIN
0403868408,2,41201,MAIN
0403877415,1,43120,MAIN
0403877415,2,42110,MAIN
0403877415,3,43120,SECO
0403877415,4,49410,SECO
0403907307,1,41202,MAIN
0403907307,2,41201,MAIN
0403926905,1,43320,MAIN
0403926905,2,43320,MAIN
0403930566,1,43341,MAIN
0403930566,2,43333,MAIN
0403930566,3,31091,SECO
0403955510,1,46710,MAIN
0403955510,2,41101,MAIN
0403955906,1,43320,MAIN
0403955906,2,43320,MAIN
0403966495,1,43341,MAIN
0403966495,2,43341,MAIN
0403977284,1,43341,MAIN
0403977284,2,43342,MAIN
0403977284,3,41201,SECO
0403977284,4,43310,SECO
0403977284,5,43331,SECO
0403977284,6,43343,SECO
0403977284,7,46731,SECO
0403977284,8,47521,SECO
0404000446,1,43291,MAIN
0404000446,2,43299,MAIN
0404000446,3,43291,SECO
0404000446,4,43341,SECO
0404000446,5,43999,SECO
0404008958,1,42110,MAIN
0404008958,2,42110,MAIN
0404032219,1,43999,MAIN
0404032219,2,77320,MAIN
0404032219,3,43999,SECO
0404032219,4,45193,SECO
0404039048,1,41201,MAIN
0404059438,1,43320,MAIN
0404059438,2,43320,MAIN
0404065772,1,41101,MAIN
0404065772,2,68100,MAIN
0404065772,3,41101,SECO
0404114173,1,41201,MAIN
0404114173,2,41201,MAIN
0404114866,1,43343,MAIN
0404114866,2,43343,MAIN
0404114866,3,43390,SECO
0404121103,1,43910,MAIN
0404121103,2,43910,MAIN
0404157725,1,41201,MAIN
0404157725,2,41201,MAIN
0404157725,3,43320,SECO
0404157725,4,47521,SECO
0404174551,1,47521,MAIN
0404174551,2,43331,MAIN
0404174551,3,47530,SECO
0404175937,1,43320,MAIN
0404175937,2,41201,MAIN
0404202760,1,41203,MAIN
0404206225,1,42110,MAIN
0404206225,2,42110,MAIN
0404207116,1,41203,MAIN
0404207116,2,41203,MAIN
0404207116,3,35120,SECO
0404207116,4,35140,SECO
0404207116,5,41101,SECO
0404207116,6,41102,SECO
0404207116,7,43320,SECO
0404207116,8,68100,SECO
0404219586,1,42919,MAIN
0404219586,2,46769,MAIN
0404219586,3,42130,SECO
0404219586,4,42911,SECO
0404219586,5,49410,SECO
0404237107,1,41201,MAIN
0404237107,2,41101,MAIN
0404257990,1,42211,MAIN
0404257990,2,42220,MAIN
0404257990,3,41201,SECO
0404257990,4,42130,SECO
0404257990,5,43221,SECO
0404262049,1,43999,MAIN
0404262049,2,77320,MAIN
0404262049,3,77399,SECO
0404279568,1,43341,MAIN
0404279568,2,43341,MAIN
0404279568,3,46442,SECO
0404280459,1,43995,MAIN
0404280459,2,43999,MAIN
0404297978,1,43999,MAIN
0404297978,2,43999,MAIN
0404297978,3,43291,SECO
0404298077,1,46731,MAIN
0404298077,2,43299,MAIN
0404298077,3,41201,SECO
0404298077,4,70220,SECO
0404339649,1,43390,MAIN
0404339649,2,47521,MAIN
0404339649,3,43341,SECO
0404357762,1,43211,MAIN
0404357762,2,43211,MAIN
0404357762,3,47540,SECO
0404358950,1,41201,MAIN
0404358950,2,41201,MAIN
0404358950,3,42220,SECO
0404358950,4,43310,SECO
0404358950,5,43320,SECO
0404358950,6,43331,SECO
0404362118,1,42110,MAIN
0404362118,2,42110,MAIN
0404362118,3,23630,SECO
0404362118,4,41201,SECO
0404364096,1,42110,MAIN
0404364096,2,42110,MAIN
0404364096,3,49410,SECO
0404366571,1,42110,MAIN
0404366571,2,42110,MAIN
0404368155,1,43999,MAIN
0404368155,2,16230,SECO
0404368155,3,43222,SECO
0404368155,4,47591,SECO
0404399037,1,68100,MAIN
0404399037,2,41102,MAIN
0404399037,3,09900,SECO
0404399037,4,41101,SECO
0404399037,5,68201,SECO
0404399037,6,68203,SECO
0404399037,7,68204,SECO
0404399235,1,41101,MAIN
0404399235,2,47781,SECO
0404399235,3,68321,SECO
0404407846,1,71121,MAIN
0404407846,2,42919,MAIN
0404407846,3,43222,SECO
0404418437,1,43320,MAIN
0404418437,2,23610,MAIN
0404418437,3,31091,SECO
0404420813,1,41101,MAIN
0404420813,2,02200,SECO
0404421704,1,42220,MAIN
0404421704,2,42220,MAIN
0404421704,3,43211,SECO
0404421704,4,43999,SECO
0404466343,1,43910,MAIN
0404466343,2,43910,MAIN
0404599272,1,42220,MAIN
0404599272,2,42220,MAIN
0404599272,3,47781,SECO
0404599272,4,52249,SECO
0404612734,1,41101,MAIN
0404626095,1,46693,MAIN
0404626095,2,43222,MAIN
0404627679,1,42220,MAIN
0404627679,2,42220,MAIN
0404627679,3,41201,SECO
0404627679,4,41203,SECO
0404627679,5,43211,SECO
0404627679,6,46731,SECO
0404627679,7,49410,SECO
0404634015,1,43999,MAIN
0404634015,2,23610,MAIN
0404634015,3,43999,SECO
0404636389,1,33200,MAIN
0404636389,2,43211,MAIN
0404636389,3,46693,SECO
0404637280,1,42219,MAIN
0404637280,2,42919,MAIN
0404637280,3,31010,SECO
0404637280,4,42130,SECO
0404640250,1,68201,MAIN
0404640250,2,41101,MAIN
0404640250,3,41201,SECO
0404640646,1,41101,MAIN
0404640646,2,16100,SECO
0404640646,3,46732,SECO
0404641636,1,62010,MAIN
0404641636,2,43211,MAIN
0404641636,3,46900,SECO
0404641636,4,62010,SECO
0404641636,5,62020,SECO
0404641636,6,80200,SECO
0404646287,1,42919,MAIN
0404646287,2,42919,MAIN
0404652227,1,43332,MAIN
0404652227,2,43333,MAIN
0404652227,3,43331,SECO
0404652227,4,47530,SECO
0404657571,1,43999,MAIN
0404657571,2,43999,MAIN
0404662323,1,42110,MAIN
0404662323,2,42110,MAIN
0404662323,3,43110,SECO
0404667766,1,43291,MAIN
0404667766,2,43291,MAIN
0404667766,3,46731,SECO
0404671528,1,43222,MAIN
0404671528,2,43222,MAIN
0404674003,1,41201,MAIN
0404674003,2,68203,SECO
0404678159,1,43221,MAIN
0404678357,1,41203,MAIN
0404678357,2,41201,MAIN
0404678357,3,68100,SECO
0404688255,1,41201,MAIN
0404712209,1,41101,MAIN
0404729827,1,41101,MAIN
