enterprisenumber,year,juridicalsituation
0402754391,2019,Normale toestand
0402754391,2020,Normale toestand
0402754391,2021,Normale toestand
0402754391,2022,Normale toestand
0402754391,2023,Normale toestand
0402755381,2018,Normale toestand
0402755381,2019,Normale toestand
0402755381,2020,Normale toestand
0402755381,2021,Normale toestand
0402755381,2022,Normale toestand
0402755381,2023,Normale toestand
0402771813,2018,Normale toestand
0402771813,2019,Normale toestand
0402771813,2020,Normale toestand
0402771813,2021,Normale toestand
0402771813,2022,Normale toestand
0402771813,2023,Normale toestand
0402784778,2018,Normale toestand
0402784778,2019,Normale toestand
0402784778,2020,Normale toestand
0402784778,2021,Normale toestand
0402784778,2022,Normale toestand
0402784778,2023,Normale toestand
0402906029,2018,Normale toestand
0402906029,2019,Normale toestand
0402906029,2020,Normale toestand
0402906029,2021,Normale toestand
0402906029,2022,Normale toestand
0402906029,2023,Normale toestand
0402935030,2018,Normale toestand
0402935030,2019,Normale toestand
0402935030,2020,Normale toestand
0402935030,2021,Normale toestand
0402935030,2022,Normale toestand
0402935030,2023,Normale toestand
0402937802,2018,Normale toestand
0402937802,2019,Normale toestand
0402937802,2020,Normale toestand
0402937802,2021,Normale toestand
0402937802,2022,Normale toestand
0402937802,2023,Normale toestand
0402938196,2018,Normale toestand
0402938196,2019,Normale toestand
0402938196,2020,Normale toestand
0402938196,2021,Normale toestand
0402938196,2022,Normale toestand
0402938196,2023,Normale toestand
0402940077,2018,Normale toestand
0402940077,2019,Normale toestand
0402940077,2020,Normale toestand
0402940077,2021,Normale toestand
0402940077,2022,Normale toestand
0402940077,2023,Normale toestand
0402940869,2018,Normale toestand
0402940869,2019,Normale toestand
0402940869,2020,Normale toestand
0402940869,2021,Normale toestand
0402940869,2022,Normale toestand
