enterprise_number,street,house_number,box,zipcode,city,country
0415235917,Victor Gilsoullaan,53,,1200,Sint-Lambrechts-Woluwe,België
0415238984,Schoon Uitzichtlaan,62,6,1180,Ukkel,België
0415254228,Damstraat,19F,,9230,Wetteren,België
0415255614,Albert I laan,234,,8620,Nieuwpoort,België
0415256901,Industrieweg,74,,9032,Gent,België
0415284813,Normandiëlaan,13,,8420,De Haan,België
0415331630,Ricksteenweg,38,,8750,Wingene,België
0415336974,Rue Bernipré,30,,6041,Charleroi,België
0415355186,Rue de la Rés. Pic au Vent(TOU),9,,7500,Tournai,België
0415486929,Rue de l'Innovation(RH),7,,5020,Namur,België
0415487721,Rue de l'Innovation(RH),7,,5020,Namur,België
0415500488,Industrieweg,8,,2490,Balen,België
0415501676,Koning Albertstraat,2,,1760,Roosdaal,België
0415521472,Vlaamsekaai,90,,2000,Antwerpen,België
0415544337,Onze-Lieve-Vrouwstraat,5,,3500,Hasselt,België
0415547307,Felix Aertgeertsstraat,28,,3128,Tremelo,België
0415551859,Gorsem-Dorp,2,,3803,Sint-Truiden,België
0415556215,Vronemeers,12,,1730,Asse,België
0415566707,Felix Aertgeertsstraat,21,,3128,Tremelo,België
0415571061,Elslo,165,,9940,Evergem,België
0415598181,Normandiëlaan,13,,8420,De Haan,België
0415600161,Brusselse steenweg,2,A,9300,Aalst,België
0415607287,Kambergen,38,,3560,Lummen,België
0415617878,Bruyelstraat,3,4,8531,Harelbeke,België
0415623818,Rue du Château d'Eau(N),6,,4121,Neupré,België
0415636090,Molenstraat(Heu),106,A,8501,Kortrijk,België
0415637773,Emiel Vlieberghlaan,12,,3900,Pelt,België
0415665685,Hellebeemden,7,,3500,Hasselt,België
0415668556,Vantegemstraat,27,,9230,Wetteren,België
0415699240,Industriepark,1211,,3545,Halen,België
0415712108,Stationsstraat,15,,9550,Herzele,België
0415721115,Zavelstraat,9,,1000,Brussel,België
0415763576,Haltstraat,50,,3900,Pelt,België
0415776939,"Rue de la Besace, Our",14,,6852,Paliseul,België
0415781194,Hoogveld,27,,9200,Dendermonde,België
0415790894,Rue de l'Eglise,24,RC1,4840,Welkenraedt,België
0415792478,Zavelberg,7,A,3980,Tessenderlo,België
0415796141,Rue Gueule-du-Loup,1C,,6600,Bastogne,België
0415826627,Nijverheidslaan,31,,8540,Deerlijk,België
0415874137,Ambachtenlaan,3,,8560,Wevelgem,België
0415874533,Kortrijksesteenweg,1052,D,9051,Gent,België
0415893933,Dendermondse steenweg,75,,9300,Aalst,België
0415897693,Coebergerstraat,49B,,2018,Antwerpen,België
0415904623,Bautersemstraat,47,,2550,Kontich,België
0415906504,Berckmansstraat,64,,1060,Sint-Gillis (bij-Brussel),België
0415911749,Brasschaatsebaan,20,2,2970,Schilde,België
0415911848,Van-Doornelaan,2,,2440,Geel,België
0415915511,Rue des Anglais,6,A,4430,Ans,België
0415927585,Quai de Rome,89,4A,4000,Liège,België
0415928278,Chaussée Romaine,79,,4360,Oreye,België
0415953915,Steenweg,250,,9810,Nazareth,België
0415973612,Terhulpsesteenweg,166,,1170,Watermaal-Bosvoorde,België
0416025080,Leuken,14,,3920,Lommel,België
0416042896,Rue des Carrières,19,B,4160,Anthisnes,België
0416093277,Karnemelkstraat,2-4,P5,9060,Zelzate,België
0416147321,Bleyveldstraat,11,,3320,Hoegaarden,België
0416160682,Chaussée de Bruxelles,165,6,1410,Waterloo,België
0416168701,Gentse steenweg,150,1.2,9300,Aalst,België
0417010522,Souverainestraat,84,,9810,Nazareth,België
0417029625,Molendamstraat,4,,8210,Zedelgem,België
0417047639,Schildekenstraat,20,,9940,Evergem,België
0417053082,Leuvensebaan(SAR),317,,3040,Huldenberg,België
0417056250,Rue de Namur,52,,5600,Philippeville,België
0417072581,"Rue de la Vieille-Sambre,Morn.",162,,5190,Jemeppe-sur-Sambre,België
0417074462,Anthonis De Jonghestraat,6,B,9100,Sint-Niklaas,België
0417100196,Anspachlaan,1,,1000,Brussel,België
0417102374,Westerring,13,,9700,Oudenaarde,België
0417131474,Roterijstraat(S.B.V.),10,,8710,Wielsbeke,België
0417159980,Dendermondsestraat,32,,1083,Ganshoren,België
0417186211,Industrielaan,27,6,9320,Aalst,België
0417217190,Tieltsestraat,50,,8531,Harelbeke,België
0417235008,Roberts-Jonesstraat,72,,1180,Ukkel,België
0417270442,Prinsendreef,15,,2950,Kapellen,België
0417288357,Rue du Travail,9,,4460,Grâce-Hollogne,België
0417316665,Parkstraat,15,,9620,Zottegem,België
0417329929,Driehoekstraat,270,,2180,Antwerpen,België
0417336263,Burgstraat,125,,9000,Gent,België
0417420001,Kruisstraat(O),12,,9290,Berlare,België
0417421088,Rue Herman,30,,1315,Incourt,België
0417435639,Brugsesteenweg,37,,8450,Bredene,België
0417469192,Leurshoek(BEV),95,,9120,Beveren,België
0417494037,Haute Rue,6,,1473,Genappe,België
